,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
508,Chris Paul,PG,34,OKC,70,2208,55%,45%,,,,5.8,11.4,104,37,42,10,38,10,1132,17,9
509,Cameron Payne,PG,25,PHO,8,183,33%,49%,18%,,,23.4,24.3,5,2,12,2,2,4,60,0,3
510,Elfrid Payton,PG,25,NYK,45,1246,100%,,,,,-3.7,4.4,64,20,38,3,45,7,737,11,45
511,Gary Payton II,PG,27,WAS,29,432,14%,86%,1%,,,-15.2,-12.1,9,4,22,1,4,1,116,2,7
512,Norvel Pelle,C,26,PHI,24,232,,,,,100%,-17.5,-21.2,3,4,34,10,5,0,19,0,5
513,,,,,,,,,,,,,,,,,,,,,,
514,Theo Pinson,SG,24,BRK,33,365,39%,57%,4%,,,-4.3,-4.1,19,8,20,3,10,5,141,4,15
515,Mason Plumlee,C,29,DEN,61,1057,,,,8%,92%,-0.7,-4.1,43,9,61,15,69,9,366,16,22
516,Jakob Poeltl,C,24,SAS,66,1171,,,,,100%,5.1,9.6,27,8,83,14,40,16,279,14,24
517,Vincent Poirier,C,26,BOS,22,130,,,,1%,99%,-5.2,-12.2,3,1,15,3,2,1,21,0,3
518,Shamorie Ponds,PG,21,TOR,4,11,100%,,,,,6.7,0.0,0,0,2,0,1,0,6,0,0
519,Jordan Poole,SG,20,GSW,57,1274,35%,63%,2%,1%,,-8.5,0.6,31,23,36,5,43,18,316,11,32
520,Kevin Porter Jr.,SF,19,CLE,50,1162,,24%,76%,,,-11.6,-5.6,51,25,61,11,50,7,246,13,32
521,Michael Porter Jr.,PF,21,DEN,55,903,,,3%,87%,10%,0.4,-2.4,18,10,54,9,34,3,101,10,27
522,Otto Porter,SF,26,CHI,14,331,,,90%,10%,,3.2,7.3,8,2,18,0,14,2,58,6,5
523,Bobby Portis,C,24,NYK,66,1393,,,,43%,57%,-6.9,-0.9,14,19,51,20,44,4,237,13,28
524,Kristaps Porziņģis,PF,24,DAL,57,1814,,,,66%,34%,6.3,3.0,36,24,106,22,122,2,256,29,33
525,Dwight Powell,C,28,DAL,40,1061,,,,,100%,8.4,4.9,12,6,53,10,51,12,144,13,13
526,Norman Powell,SG,26,TOR,52,1479,13%,74%,13%,,,5.3,-2.3,28,24,38,10,63,5,218,15,34
527,Chasson Randle,PG,26,GSW,3,40,81%,19%,,,,-4.8,4.1,0,0,1,0,3,0,13,0,1
528,Julius Randle,PF,25,NYK,64,2080,,,,95%,5%,-5.2,3.2,65,65,73,38,163,7,502,42,65
529,Josh Reaves,SG,22,DAL,4,28,,11%,79%,10%,,7.1,2.3,0,0,3,0,1,0,7,0,0
530,Cam Reddish,SF,20,ATL,58,1551,,,40%,59%,1%,-6.9,2.0,33,33,72,7,56,16,212,10,54
531,J.J. Redick,SG,35,NOP,60,1581,30%,61%,8%,1%,,-1.3,0.1,36,17,49,4,51,22,288,10,15
532,Naz Reid,C,20,MIN,30,495,,,,3%,97%,-0.5,4.9,6,7,54,4,30,4,87,8,16
533,Josh Richardson,SG,26,PHI,55,1693,25%,73%,2%,,,3.1,1.4,51,19,60,16,42,16,388,9,37
534,,,,,,,,,,,,,,,,,,,,,,
535,Austin Rivers,SG,27,HOU,68,1594,18%,59%,22%,1%,,2.6,-0.7,22,15,71,6,51,18,292,15,27
536,Andre Roberson,SG,28,OKC,7,87,4%,40%,56%,1%,,1.4,-0.3,0,1,7,0,0,2,10,0,2
537,Duncan Robinson,SG,25,MIA,73,2166,2%,65%,33%,,,7.5,11.7,24,10,103,12,23,17,236,7,9
538,Glenn Robinson III,SF,26,TOT,62,1786,,13%,74%,13%,,-7.7,-6.5,25,20,60,5,39,3,235,7,41
539,Glenn Robinson III,SF,26,GSW,48,1516,,15%,75%,11%,,-8.9,-0.2,25,18,46,3,32,2,206,5,35
540,Glenn Robinson III,SF,26,PHI,14,270,,3%,72%,25%,,-0.6,-3.2,0,2,14,2,7,1,29,2,6
541,Jerome Robinson,SG,22,TOT,63,979,14%,74%,12%,,,-1.0,-2.2,30,10,60,3,22,10,203,4,14
542,Jerome Robinson,SG,22,LAC,42,476,14%,69%,16%,1%,,4.4,-2.4,17,4,26,2,6,6,105,1,7
543,Jerome Robinson,SG,22,WAS,21,503,14%,79%,7%,,,-6.1,-1.8,13,6,34,1,16,4,98,3,7
544,Justin Robinson,PG,22,WAS,9,49,69%,31%,,,,28.1,33.1,2,1,1,0,0,1,17,0,0
545,Mitchell Robinson,C,21,NYK,61,1412,,,,,100%,-3.1,5.9,5,11,121,14,74,4,82,18,20
546,Isaiah Roby,SF,21,OKC,3,11,,,,100%,,-8.0,-9.7,1,0,0,0,0,0,0,0,0
547,Rajon Rondo,PG,33,LAL,48,984,100%,,,,,1.9,-5.5,67,7,16,6,13,11,566,1,15
548,Derrick Rose,PG,31,DET,50,1298,98%,2%,,,,-3.6,0.9,71,45,27,4,73,8,700,22,56
549,Terrence Ross,SG,28,ORL,69,1889,2%,70%,29%,,,-2.8,-4.0,34,15,49,14,68,0,198,22,41
550,Terry Rozier,PG,25,CHO,63,2164,100%,,,,,-10.1,-9.5,79,23,49,20,64,20,627,20,46
551,Ricky Rubio,PG,29,PHO,65,2016,87%,13%,,,,3.1,6.3,123,25,54,5,91,49,1300,16,43
552,D'Angelo Russell,PG,23,TOT,45,1452,87%,13%,,,,-8.5,-2.4,100,40,37,4,75,7,646,10,18
553,D'Angelo Russell,PG,23,GSW,33,1060,87%,13%,,,,-10.6,-2.7,71,26,24,2,61,5,455,7,14
554,D'Angelo Russell,PG,23,MIN,12,392,89%,11%,,,,-3.2,1.6,29,14,13,2,14,2,191,3,4
555,Domantas Sabonis,PF,23,IND,62,2159,,,,53%,47%,3.4,2.9,61,45,80,44,131,2,731,32,56
556,Luka Šamanić,PF,20,SAS,3,48,,,,30%,70%,6.1,7.3,0,1,0,1,2,1,14,0,2
557,JaKarr Sampson,SF,26,IND,34,471,,,59%,34%,7%,1.3,-1.2,5,3,29,5,14,4,48,5,5
558,Dario Šarić,PF,25,PHO,66,1632,,,,84%,16%,-1.3,-3.4,40,15,88,14,58,8,286,17,42
559,Tomáš Satoranský,PG,28,CHI,65,1878,53%,47%,,,,-2.5,2.0,88,25,60,6,51,21,852,15,31
560,Admiral Schofield,SF,22,WAS,33,368,,,28%,65%,7%,-7.6,-3.4,2,3,25,1,5,4,33,0,4
561,,,,,,,,,,,,,,,,,,,,,,
562,Dennis Schröder,PG,26,OKC,65,1999,100%,,,,,5.0,7.8,93,42,46,16,90,24,602,20,55
563,Mike Scott,PF,31,PHI,68,1207,,,29%,68%,3%,6.5,6.3,15,6,48,5,12,3,131,2,8
564,Thabo Sefolosha,PF,35,HOU,41,436,,,5%,79%,16%,3.3,0.4,8,0,21,1,3,2,66,2,5
565,Collin Sexton,SG,21,CLE,65,2143,22%,77%,1%,,,-9.1,-3.3,63,63,48,14,106,22,465,28,120
566,Landry Shamet,SG,22,LAC,53,1452,17%,67%,16%,,,4.5,-3.3,22,10,63,3,28,11,239,4,14
567,Marial Shayok,SG,24,PHI,4,28,,89%,10%,1%,,-19.3,-21.9,2,0,1,0,1,1,2,0,1
568,Iman Shumpert,SG,29,BRK,13,241,,33%,67%,,,-8.9,-8.9,7,1,8,1,2,5,31,1,1
569,Pascal Siakam,PF,25,TOR,60,2110,,,3%,78%,19%,9.1,6.2,58,37,59,30,141,2,533,38,60
570,Chris Silva,PF,23,MIA,44,346,,,4%,65%,31%,-5.4,-9.2,10,8,49,12,22,7,61,1,13
571,Ben Simmons,PG,23,PHI,57,2017,92%,8%,,,,1.2,-2.6,115,25,55,38,124,25,1136,24,32
572,Anfernee Simons,SG,20,POR,70,1449,52%,48%,,,,-8.0,-11.9,30,16,61,7,41,6,242,10,38
573,Alen Smailagić,PF,19,GSW,14,139,,,,15%,85%,-5.6,3.4,5,3,5,1,10,2,33,3,2
574,Marcus Smart,SG,25,BOS,60,1919,23%,73%,4%,,,7.1,1.3,68,14,74,6,53,30,678,11,19
575,Dennis Smith Jr.,PG,22,NYK,34,537,100%,,,,,-16.8,-12.5,34,13,32,4,23,6,239,5,11
576,Ish Smith,PG,31,WAS,68,1787,96%,5%,,,,-3.5,2.2,62,20,71,3,33,12,828,10,27
577,J.R. Smith,SG,34,LAL,6,79,,,98%,2%,,-16.4,-22.7,3,0,2,1,1,0,8,0,0
578,Zhaire Smith,SG,20,PHI,7,32,,44%,57%,,,-13.1,-15.6,1,0,4,0,1,0,6,0,1
579,Tony Snell,SF,28,DET,59,1641,,25%,69%,6%,,-6.4,-4.5,19,8,50,4,8,6,301,2,9
580,Omari Spellman,PF,22,GSW,49,886,,,,59%,41%,-9.4,-0.9,31,9,33,6,43,2,107,12,17
581,Max Strus,SG,23,CHI,2,6,,100%,,,,93.3,96.9,0,0,0,0,0,0,0,1,0
582,,,,,,,,,,,,,,,,,,,,,,
583,Edmond Sumner,PG,24,IND,31,447,21%,79%,1%,,,-1.9,-4.9,9,7,17,1,15,5,131,2,12
584,Caleb Swanigan,PF,22,TOT,27,288,,,,10%,90%,-6.3,-5.0,20,5,26,8,3,4,76,1,2
585,Caleb Swanigan,PF,22,SAC,7,23,,,,29%,72%,-31.0,-29.1,5,0,4,1,0,0,6,0,0
586,Caleb Swanigan,PF,22,POR,20,265,,,,8%,92%,-3.9,-3.2,15,5,22,7,3,4,70,1,2
587,Jayson Tatum,PF,21,BOS,66,2265,,,,90%,10%,10.4,11.1,55,52,47,27,136,6,487,24,62
588,Jeff Teague,PG,31,TOT,59,1464,72%,28%,,,,-6.8,-0.7,65,31,54,10,83,11,755,18,38
589,Jeff Teague,PG,31,MIN,34,945,90%,10%,,,,-4.2,0.6,43,22,34,4,58,7,515,10,26
590,Jeff Teague,PG,31,ATL,25,519,39%,60%,1%,,,-11.7,-4.4,22,9,20,6,25,4,240,8,12
591,Garrett Temple,SG,33,BRK,62,1730,81%,18%,1%,,,-1.6,-1.9,35,15,53,7,30,11,371,10,26
592,Daniel Theis,C,27,BOS,65,1566,,,,,100%,6.8,0.5,20,9,114,17,49,19,275,15,29
593,Isaiah Thomas,PG,30,WAS,40,925,100%,,,,,-10.6,-8.3,46,18,35,6,20,8,339,2,32
594,Khyri Thomas,SG,23,DET,8,61,6%,23%,71%,,,-30.0,-26.3,3,0,7,0,1,0,8,0,0
595,Lance Thomas,SF,31,BRK,7,98,,,12%,79%,8%,-26.0,-26.1,1,2,6,2,3,0,16,2,0
596,Matt Thomas,SG,25,TOR,41,440,56%,40%,4%,,,7.0,0.4,8,1,22,1,4,1,54,1,13
597,Tristan Thompson,C,28,CLE,57,1721,,,,1%,99%,-9.9,-4.1,26,31,61,22,67,4,290,14,65
598,Sindarius Thornwell,SG,25,NOP,2,35,3%,52%,45%,,,-5.9,-4.6,1,0,1,1,2,0,8,0,1
599,Matisse Thybulle,SG,22,PHI,65,1287,14%,64%,22%,1%,,2.9,0.8,26,11,73,5,17,13,190,3,8
600,Anthony Tolliver,PF,34,TOT,55,872,,,9%,54%,37%,-5.7,-4.9,19,5,34,6,14,9,109,3,7
601,Anthony Tolliver,PF,34,POR,33,554,,,,49%,51%,-13.2,-14.6,14,3,28,1,11,6,77,3,5
602,Anthony Tolliver,PF,34,SAC,9,82,,,,86%,14%,-1.2,1.0,2,1,1,1,0,0,6,0,0
603,Anthony Tolliver,PF,34,MEM,13,236,,,33%,55%,12%,10.6,12.1,3,1,5,4,3,3,26,0,2
604,Juan Toscano-Anderson,SF,26,GSW,13,272,,1%,59%,39%,,-15.0,-6.8,8,4,15,1,3,2,62,1,7
605,Karl-Anthony Towns,C,24,MIN,35,1187,,,,,100%,-2.2,4.0,45,21,51,28,93,7,345,33,36
606,Gary Trent Jr.,SG,21,POR,61,1332,1%,43%,55%,1%,,-2.1,-1.9,8,6,27,4,19,14,151,4,11
607,Allonzo Trier,PG,24,NYK,24,291,41%,59%,,,,-12.2,-6.5,12,3,10,4,13,2,70,0,7
608,P.J. Tucker,PF,34,HOU,72,2467,,,3%,71%,26%,3.3,1.0,35,9,121,15,11,42,286,2,13
609,Rayjon Tucker,SG,22,UTA,20,161,1%,36%,59%,5%,,-5.8,-8.5,5,0,4,1,12,10,13,2,3
610,,,,,,,,,,,,,,,,,,,,,,
611,Evan Turner,PG,31,ATL,19,251,63%,32%,6%,,,-12.2,-4.6,18,5,12,1,8,1,92,3,4
612,Myles Turner,C,23,IND,62,1826,,,,,100%,0.7,-3.3,27,20,95,22,86,15,177,23,22
613,Jarrod Uthoff,SF,26,TOT,7,53,,,16%,84%,,9.3,12.1,0,0,2,0,1,0,0,0,0
614,Jarrod Uthoff,SF,26,MEM,4,14,,,,100%,,34.6,35.5,0,0,1,0,1,0,0,0,0
615,Jarrod Uthoff,SF,26,WAS,3,39,,,22%,78%,,1.2,5.9,0,0,1,0,0,0,0,0,0
616,Jonas Valančiūnas,C,27,MEM,70,1845,,,,,100%,0.6,2.7,37,38,97,27,92,4,316,17,39
617,Denzel Valentine,SF,26,CHI,36,488,,22%,76%,3%,,-5.6,-2.7,18,2,26,1,4,1,106,0,2
618,Jarred Vanderbilt,SF-PF,20,TOT,11,46,,,33%,51%,15%,-26.5,-25.6,3,1,3,1,1,0,6,0,0
619,Jarred Vanderbilt,SF,20,DEN,9,41,,,37%,55%,8%,-17.5,-20.0,3,1,3,1,0,0,6,0,0
620,Jarred Vanderbilt,PF,20,MIN,2,5,,,,22%,78%,-100.0,-95.6,0,0,0,0,1,0,0,0,0
621,Fred VanVleet,PG,25,TOR,54,1928,44%,56%,,,,5.2,-3.3,60,34,46,18,75,10,860,19,51
622,Gabe Vincent,PG,23,MIA,9,83,69%,31%,,,,-17.2,-20.6,0,1,4,0,0,1,15,0,3
623,Noah Vonleh,C-PF,24,TOT,36,377,,,,7%,93%,-7.8,-7.2,7,4,18,7,10,1,68,1,10
624,Noah Vonleh,C,24,MIN,29,347,,,,7%,93%,-6.9,-2.6,7,3,17,7,9,1,62,1,10
625,Noah Vonleh,PF,24,DEN,7,30,,,,,100%,-21.0,-23.4,0,1,1,0,1,0,6,0,0
626,Nikola Vučević,C,29,ORL,62,1998,,,,,100%,0.8,4.3,34,27,87,9,76,2,530,23,50
627,Dean Wade,PF,23,CLE,12,71,,,16%,68%,17%,-7.5,0.6,3,0,3,0,1,0,5,1,0
628,Moritz Wagner,C,22,WAS,45,835,,,,3%,97%,-4.8,-0.3,14,12,70,24,40,38,137,6,23
629,Dion Waiters,SG,28,TOT,10,207,22%,66%,12%,,,6.2,1.9,8,4,4,4,8,1,52,5,7
630,Dion Waiters,SG,28,MIA,3,42,43%,57%,,,,16.8,14.0,0,1,2,2,1,0,7,1,4
631,Dion Waiters,SG,28,LAL,7,165,17%,68%,15%,,,3.6,-2.3,8,3,2,2,7,1,45,4,3
632,Kemba Walker,PG,29,BOS,56,1742,100%,,,,,6.1,-0.7,56,49,53,1,88,34,643,18,64
633,Lonnie Walker,SG,21,SAS,61,988,3%,24%,73%,,,0.3,2.0,15,14,38,6,32,4,166,8,21
634,Tyrone Wallace,SG,25,ATL,14,160,71%,29%,,,,-10.4,-2.6,2,3,11,2,6,3,31,1,5
635,Taurean Prince,SF,25,BRK,64,1857,,,16%,83%,1%,1.7,5.0,54,30,65,17,30,20,279,3,27
636,Derrick Walton,PG,24,TOT,26,248,100%,,,,,-2.4,-4.0,3,0,8,2,3,1,71,0,1
637,Derrick Walton,PG,24,LAC,23,222,100%,,,,,-0.3,-7.2,3,0,7,1,3,0,58,0,1
638,Derrick Walton,PG,24,DET,3,26,100%,,,,,-20.7,-16.7,0,0,1,1,0,1,13,0,0
639,Brad Wanamaker,PG,30,BOS,71,1369,81%,19%,,,,5.5,-1.6,37,19,55,5,62,5,433,10,26
640,T.J. Warren,SF,26,IND,67,2202,,1%,58%,39%,2%,3.3,2.5,29,23,74,16,107,21,230,40,33
641,,,,,,,,,,,,,,,,,,,,,,
642,P.J. Washington,PF,21,CHO,58,1759,,,6%,85%,9%,-6.9,0.6,43,25,98,13,69,5,310,17,40
643,Yuta Watanabe,SG,25,MEM,18,105,,,29%,67%,5%,2.7,3.5,0,2,5,0,4,1,12,0,2
644,Tremont Waters,PG,22,BOS,11,119,100%,,,,,7.9,1.5,11,4,5,0,1,0,39,0,2
645,Paul Watson,SF-SG,25,TOT,10,87,,4%,77%,19%,,15.2,15.9,2,0,3,0,4,1,19,1,4
646,Paul Watson,SG,25,ATL,2,17,,21%,45%,35%,,22.1,30.2,0,0,1,0,0,0,8,0,1
647,Paul Watson,SF,25,TOR,8,70,,,85%,15%,,13.8,7.3,2,0,2,0,4,1,11,1,3
648,Quinndary Weatherspoon,SG,23,SAS,11,78,27%,69%,4%,,,-12.5,-11.6,3,1,3,0,0,0,29,0,2
649,Russell Westbrook,PG,31,HOU,57,2049,100%,,,,,2.8,-0.5,131,80,68,25,187,5,1014,46,81
650,Coby White,SG,19,CHI,65,1674,12%,71%,17%,,,-4.6,-2.6,48,36,46,10,62,16,427,16,61
651,Derrick White,SG,25,SAS,68,1677,9%,84%,7%,,,0.5,3.2,48,24,84,4,94,53,555,26,27
652,Hassan Whiteside,C,30,POR,67,2008,,,,,100%,2.6,8.0,33,38,114,27,115,10,191,44,39
653,Andrew Wiggins,SF-SG,24,TOT,54,1858,,10%,83%,7%,,-5.4,1.8,48,52,84,16,133,3,493,35,56
654,Andrew Wiggins,SF,24,MIN,42,1455,,8%,84%,8%,,-4.2,0.8,36,44,68,14,104,1,388,24,45
655,Andrew Wiggins,SG,24,GSW,12,403,,17%,80%,2%,,-10.0,-1.4,12,8,16,2,29,2,105,11,11
656,Grant Williams,PF,21,BOS,69,1043,,1%,38%,55%,6%,7.2,1.0,22,6,85,19,22,12,161,7,14
657,Johnathan Williams,C,24,WAS,15,180,,,,84%,17%,-10.4,-6.1,1,1,5,2,6,2,19,1,4
658,Kenrich Williams,PF,25,NOP,39,832,,,5%,90%,5%,-1.4,-0.1,11,7,46,3,10,16,143,4,5
659,Lou Williams,SG,33,LAC,65,1864,62%,37%,1%,,,3.5,-6.6,129,32,17,8,135,20,854,26,50
660,Marvin Williams,PF,33,TOT,58,1129,,,2%,77%,22%,-2.4,-5.7,17,4,38,10,16,6,149,6,8
661,Marvin Williams,PF,33,CHO,41,808,,,,72%,28%,-6.0,1.6,14,2,24,9,14,4,104,5,7
662,Marvin Williams,PF,33,MIL,17,321,,,6%,89%,6%,6.0,-4.4,3,2,14,1,2,2,45,1,1
663,Robert Williams,C,22,BOS,29,388,,,,2%,98%,5.1,-1.6,8,5,29,5,14,3,63,6,1
664,Nigel Williams-Goss,PG,25,UTA,10,50,69%,31%,,,,2.9,0.6,2,0,3,1,0,0,14,0,1
665,Zion Williamson,PF,19,NOP,24,668,,,,92%,8%,4.7,7.6,19,25,16,9,88,4,126,18,39
666,D.J. Wilson,PF,23,MIL,37,363,,,1%,61%,38%,-4.7,-16.3,6,3,21,2,7,3,62,2,3
667,Justise Winslow,SF,23,MIA,11,352,,17%,52%,31%,,7.5,5.1,16,4,15,2,10,3,104,1,4
668,,,,,,,,,,,,,,,,,,,,,,
669,Christian Wood,PF,24,DET,62,1325,,,,47%,53%,2.2,10.9,24,30,49,15,105,13,144,30,31
670,Delon Wright,SG,27,DAL,73,1570,7%,65%,28%,1%,,2.1,-4.9,41,25,45,2,41,7,636,10,30
671,Justin Wright-Foreman,PG,22,UTA,4,45,100%,,,,,-27.9,-30.6,3,0,4,0,2,0,16,0,1
672,Thaddeus Young,PF,31,CHI,64,1591,,,2%,96%,3%,-6.2,-5.8,50,22,69,18,28,26,279,6,44
673,Trae Young,PG,21,ATL,60,2120,98%,3%,,,,-5.5,7.4,186,68,43,15,203,29,1292,36,80
674,Cody Zeller,C,27,CHO,58,1341,,,,,100%,-9.4,-3.9,24,20,62,22,90,8,211,26,44
675,Tyler Zeller,C,30,SAS,2,4,,,,,100%,33.3,34.5,0,0,0,0,0,0,0,0,0
676,Ante Žižić,C,23,CLE,22,221,,,,,100%,1.5,10.3,1,5,13,3,8,0,14,5,5
677,Ivica Zubac,C,22,LAC,72,1326,,,,,100%,9.2,4.4,18,13,113,20,75,1,196,11,28
