,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
336,B.J. Johnson,SF,24,ORL,10,0,83,5.3,18.8,.281,1.8,5.3,.333,3.5,13.5,.261,5.3,5.9,.900,1.8,7.0,8.8,1.8,1.8,0.0,3.5,1.8,17.6,,81,111
337,Cameron Johnson,PF,23,PHO,57,9,1255,6.6,15.3,.435,4.0,10.3,.390,2.6,5.0,.526,1.7,2.2,.807,1.8,5.2,7.1,2.6,1.4,0.8,1.2,3.3,19.0,,117,113
338,James Johnson,PF,32,TOT,32,1,619,7.9,16.5,.479,2.5,7.0,.363,5.4,9.5,.565,2.4,3.7,.646,1.9,7.1,9.1,5.7,1.9,2.5,3.7,6.1,20.7,,107,108
339,James Johnson,PF,32,MIA,18,0,281,6.8,15.1,.448,2.8,7.8,.356,4.0,7.3,.548,1.4,2.4,.571,1.4,7.6,9.0,3.6,1.0,2.3,2.6,5.9,17.7,,103,109
340,James Johnson,PF,32,MIN,14,1,338,8.8,17.6,.500,2.3,6.3,.370,6.5,11.3,.573,3.2,4.7,.676,2.3,6.7,9.1,7.3,2.6,2.6,4.5,6.3,23.1,,109,108
341,Keldon Johnson,SF,20,SAS,17,1,301,8.4,14.1,.596,2.1,3.5,.591,6.4,10.6,.597,5.6,7.0,.795,1.6,7.5,9.0,2.4,2.2,0.3,2.1,4.4,24.4,,131,113
342,Stanley Johnson,PF,23,TOR,25,0,150,7.0,18.7,.373,2.2,7.6,.292,4.8,11.1,.429,2.9,5.1,.563,2.2,9.5,11.7,6.3,1.9,1.3,4.8,5.1,19.0,,90,103
343,Tyler Johnson,SG,27,TOT,39,7,709,6.5,16.7,.388,2.5,7.9,.319,3.9,8.8,.450,2.8,3.3,.840,1.2,3.9,5.1,4.9,1.1,0.6,1.9,3.9,18.3,,105,114
344,Tyler Johnson,SG,27,PHO,31,3,515,6.0,15.7,.380,2.2,7.6,.289,3.8,8.1,.466,2.2,2.9,.750,0.9,3.9,4.8,4.6,1.1,0.7,2.2,4.0,16.4,,98,114
345,Tyler Johnson,SG,27,BRK,8,4,194,7.8,19.3,.405,3.4,8.8,.389,4.4,10.5,.419,4.4,4.4,1.000,2.0,3.9,5.9,5.9,1.0,0.2,1.2,3.7,23.4,,121,113
346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Nikola Jokić,C,24,DEN,73,73,2336,12.0,22.7,.528,1.7,5.4,.314,10.3,17.3,.594,5.2,6.4,.817,3.5,11.5,15.0,10.8,1.8,0.9,4.8,4.7,30.8,,119,108
348,Damian Jones,C,24,ATL,55,27,887,6.4,9.4,.680,0.1,0.5,.222,6.3,8.9,.704,3.3,4.4,.738,3.9,6.9,10.8,1.8,1.4,2.1,1.5,7.8,16.1,,138,113
349,Derrick Jones Jr.,SF,22,MIA,59,16,1375,6.5,12.4,.527,1.3,4.7,.280,5.2,7.7,.677,3.4,4.4,.772,2.3,5.9,8.3,2.2,2.1,1.3,1.1,4.6,17.7,,126,109
350,Tyus Jones,PG,23,MEM,65,6,1232,7.5,16.3,.459,1.8,4.7,.379,5.7,11.6,.492,1.6,2.2,.741,0.3,3.6,3.9,10.8,2.2,0.2,2.1,1.7,18.3,,116,112
351,DeAndre Jordan,C,31,BRK,56,6,1234,7.3,11.0,.666,0.0,0.0,,7.3,11.0,.666,3.2,4.7,.680,5.4,16.1,21.5,4.0,0.7,2.0,2.8,4.4,17.8,,129,104
352,Cory Joseph,PG,28,SAC,72,26,1759,4.7,11.4,.415,1.5,4.4,.352,3.2,7.0,.455,1.7,1.9,.857,1.2,4.0,5.2,6.9,1.5,0.6,2.2,3.7,12.6,,110,114
353,Mfiondu Kabengele,C,22,LAC,12,0,64,10.3,23.6,.438,6.6,14.8,.450,3.7,8.9,.417,3.7,3.7,1.000,0.7,7.4,8.1,1.5,1.5,1.5,1.5,6.6,31.0,,119,107
354,Frank Kaminsky,C,26,PHO,39,13,777,8.4,18.7,.450,2.5,7.6,.331,5.9,11.2,.530,3.7,5.5,.678,2.1,8.6,10.7,4.6,0.9,0.6,2.3,4.6,23.0,,110,112
355,Enes Kanter,C,27,BOS,58,7,983,9.8,17.1,.572,0.0,0.3,.143,9.7,16.7,.581,3.4,4.9,.707,8.0,13.2,21.2,2.7,1.1,2.0,2.7,4.9,23.0,,123,104
356,Luke Kennard,SG,23,DET,28,25,922,8.1,18.2,.442,3.9,9.8,.399,4.2,8.5,.491,3.6,4.0,.893,0.5,4.7,5.2,6.1,0.6,0.3,2.3,3.5,23.6,,117,117
357,Stanton Kidd,SF,27,UTA,4,0,15,0.0,9.7,.000,0.0,3.2,.000,0.0,6.5,.000,0.0,0.0,,0.0,9.7,9.7,3.2,0.0,0.0,6.5,9.7,0.0,,13,112
358,Michael Kidd-Gilchrist,SF-PF,26,TOT,25,0,281,3.9,11.6,.333,0.9,3.5,.250,3.0,8.1,.370,1.9,2.5,.786,2.5,9.3,11.8,2.5,0.4,1.1,2.8,6.5,10.5,,85,113
359,Michael Kidd-Gilchrist,PF,26,CHO,12,0,160,5.6,16.6,.340,1.6,5.3,.294,4.1,11.3,.361,2.2,2.8,.778,2.8,8.1,11.0,3.1,0.0,0.9,2.2,5.6,15.0,,91,115
360,Michael Kidd-Gilchrist,SF,26,DAL,13,0,121,1.6,5.2,.308,0.0,1.2,.000,1.6,4.0,.400,1.6,2.0,.800,2.0,10.8,12.8,1.6,0.8,1.2,3.6,7.6,4.8,,71,110
361,Louis King,SF,20,DET,10,0,62,6.3,16.7,.381,3.2,8.7,.364,3.2,7.9,.400,0.0,2.4,.000,0.8,7.1,7.9,4.0,1.6,0.0,1.6,7.9,15.9,,93,113
362,Maxi Kleber,C,28,DAL,74,21,1890,6.1,13.1,.461,3.0,8.2,.373,3.0,5.0,.605,2.0,2.4,.849,2.9,7.1,9.9,2.3,0.6,2.1,1.5,4.5,17.2,,122,112
363,Brandon Knight,PG,28,TOT,25,3,462,6.2,17.7,.353,4.8,13.9,.344,1.5,3.8,.389,2.1,3.6,.588,0.4,3.9,4.3,7.3,1.1,0.3,4.0,4.2,19.4,,98,117
364,Brandon Knight,PG,28,CLE,16,0,241,5.7,17.4,.326,3.8,12.9,.297,1.8,4.4,.409,0.8,2.6,.308,0.6,3.4,4.0,6.3,1.0,0.4,3.2,4.0,15.9,,89,119
365,Brandon Knight,PG,28,DET,9,3,221,6.9,18.0,.383,5.8,14.9,.388,1.1,3.1,.357,3.6,4.7,.762,0.2,4.5,4.7,8.5,1.1,0.2,4.9,4.5,23.1,,106,116
366,Kevin Knox,SF,20,NYK,65,4,1166,6.0,16.7,.359,2.7,8.3,.327,3.3,8.4,.391,2.8,4.2,.653,1.2,6.5,7.7,2.5,1.0,1.2,1.9,4.4,17.5,,97,114
367,John Konchar,SG,23,MEM,19,0,181,6.2,9.5,.649,1.3,2.6,.500,4.9,7.0,.704,0.3,0.5,.500,4.6,7.5,12.1,5.7,1.8,0.8,1.8,1.8,13.9,,140,110
368,Furkan Korkmaz,SG,22,PHI,72,12,1559,7.5,17.5,.430,4.4,11.1,.402,3.1,6.4,.478,2.4,3.2,.755,0.6,4.7,5.2,2.5,1.3,0.5,1.8,3.0,21.9,,111,112
369,Luke Kornet,C,24,CHI,36,14,559,7.1,16.1,.439,2.7,9.3,.287,4.4,6.8,.646,1.7,2.4,.714,1.9,5.3,7.2,2.8,0.9,2.2,1.2,4.7,18.5,,112,111
370,Kyle Korver,SF,38,MIL,58,1,960,6.0,13.9,.430,4.7,11.3,.418,1.3,2.7,.482,1.7,2.0,.854,0.7,5.1,5.8,3.2,1.2,0.6,2.3,3.7,18.4,,113,106
371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Rodions Kurucs,PF,21,BRK,47,9,684,5.5,12.2,.446,2.3,6.2,.367,3.2,6.0,.529,1.7,2.6,.632,1.7,7.7,9.5,3.5,1.7,0.3,3.2,6.2,14.9,,101,109
373,Kyle Kuzma,PF,24,LAL,61,9,1526,9.1,20.8,.436,2.7,8.5,.316,6.4,12.3,.518,3.6,4.8,.735,1.6,6.9,8.5,2.5,0.9,0.8,2.8,3.9,24.4,,103,109
374,Skal Labissière,C,23,POR,33,1,567,6.8,12.4,.551,0.3,1.1,.231,6.6,11.3,.582,2.1,2.8,.758,5.5,8.7,14.2,3.5,0.6,2.6,2.5,7.5,16.0,,121,113
375,Jeremy Lamb,SG,27,IND,46,42,1291,8.1,18.0,.451,2.0,5.9,.335,6.1,12.1,.508,3.5,4.1,.836,0.9,6.6,7.5,3.6,2.1,0.8,1.9,3.9,21.7,,108,107
376,Romeo Langford,SG,20,BOS,32,2,370,3.7,10.4,.350,0.7,3.5,.185,3.0,6.9,.434,2.3,3.3,.720,2.0,3.4,5.3,1.7,1.0,1.0,1.4,4.3,10.3,,95,111
377,Zach LaVine,SG,24,CHI,60,60,2085,12.5,27.7,.450,4.3,11.2,.380,8.2,16.5,.497,6.2,7.7,.802,0.9,5.7,6.7,5.9,2.0,0.6,4.8,3.0,35.3,,106,110
378,Vic Law,SF,24,ORL,8,0,62,4.7,14.1,.333,0.8,5.5,.143,3.9,8.6,.455,1.6,4.7,.333,1.6,7.1,8.6,2.4,1.6,0.0,1.6,4.7,11.8,,79,111
379,Jake Layman,PF,25,MIN,23,2,505,7.4,16.5,.453,2.2,6.6,.333,5.2,9.8,.533,2.2,2.9,.750,1.6,3.7,5.2,1.4,1.6,0.9,2.2,4.3,19.3,,102,114
380,T.J. Leaf,PF,22,IND,28,1,222,7.9,18.8,.419,1.1,3.9,.278,6.8,14.9,.456,1.5,3.5,.438,5.0,10.5,15.5,2.0,2.2,0.9,1.7,4.8,18.4,,98,105
381,Jalen Lecque,PG,19,PHO,5,0,32,5.9,14.8,.400,0.0,5.9,.000,5.9,8.9,.667,3.0,3.0,1.000,0.0,3.0,3.0,3.0,0.0,0.0,3.0,4.4,14.8,,86,118
382,Courtney Lee,SG,34,DAL,24,9,345,5.6,11.5,.488,2.9,6.6,.447,2.7,4.9,.543,0.8,1.0,.857,1.0,3.5,4.5,1.7,2.5,0.8,1.5,4.6,15.0,,116,111
383,Damion Lee,SG,27,GSW,49,36,1423,7.2,17.2,.417,2.9,8.0,.356,4.3,9.1,.471,3.7,4.2,.873,1.1,7.0,8.0,4.5,1.7,0.2,2.3,3.9,20.9,,108,114
384,Alex Len,C,26,TOT,55,12,970,8.6,15.5,.555,0.8,2.9,.271,7.8,12.6,.619,3.3,5.1,.648,4.8,10.7,15.6,2.4,1.1,2.3,2.7,6.2,21.2,,116,111
385,Alex Len,C,26,ATL,40,9,745,8.9,16.3,.546,0.9,3.5,.250,8.0,12.8,.627,3.2,5.1,.630,4.3,10.1,14.4,2.6,1.3,2.1,2.4,5.8,21.8,,115,112
386,Alex Len,C,26,SAC,15,3,225,7.5,12.7,.593,0.4,0.6,.667,7.1,12.1,.589,3.7,5.2,.708,6.7,12.9,19.6,1.7,0.6,3.2,3.5,7.3,19.2,,119,108
387,Kawhi Leonard,SF,28,LAC,57,57,1848,13.6,29.0,.470,3.1,8.3,.378,10.5,20.7,.506,9.1,10.3,.886,1.4,8.9,10.3,7.2,2.6,0.8,3.8,2.9,39.5,,117,104
388,Meyers Leonard,C,27,MIA,51,49,1034,5.6,11.0,.509,2.5,6.0,.414,3.1,5.0,.623,0.8,1.3,.643,1.4,10.9,12.3,2.6,0.7,0.7,1.8,5.1,14.6,,114,110
389,Caris LeVert,SG,25,BRK,45,31,1330,11.1,26.0,.425,2.8,7.8,.364,8.2,18.2,.451,5.0,7.0,.711,1.7,5.0,6.7,7.1,1.9,0.4,4.2,2.9,30.0,,102,110
390,Damian Lillard,PG,29,POR,66,66,2474,12.0,26.0,.463,5.2,13.0,.401,6.8,13.0,.524,8.9,10.0,.888,0.6,4.8,5.5,10.2,1.3,0.4,3.7,2.2,38.1,,126,117
391,Nassir Little,PF,19,POR,48,5,573,5.4,12.6,.430,1.2,4.9,.237,4.2,7.7,.554,2.3,3.7,.636,2.6,6.4,9.0,1.8,1.1,1.2,1.2,6.0,14.3,,108,116
392,Kevon Looney,C,23,GSW,20,4,262,5.3,14.4,.367,0.2,2.6,.071,5.1,11.9,.431,1.6,2.2,.750,5.1,6.9,12.1,3.7,2.2,1.1,2.2,6.2,12.4,,94,112
393,Brook Lopez,C,31,MIL,68,67,1817,7.3,16.9,.435,2.6,8.2,.314,4.8,8.7,.549,3.2,3.8,.836,1.5,6.4,7.8,2.5,1.2,4.1,1.8,4.1,20.4,,109,100
394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Robin Lopez,C,31,MIL,66,5,958,7.0,14.3,.492,1.7,5.0,.333,5.3,9.2,.577,1.3,2.5,.528,2.7,5.0,7.7,2.1,0.5,2.1,3.0,4.6,17.0,,101,105
396,Kevin Love,PF,31,CLE,56,56,1780,8.9,19.9,.450,4.0,10.7,.374,4.9,9.2,.537,5.1,6.0,.854,1.5,13.5,15.0,4.9,0.9,0.5,3.8,2.5,27.0,,112,113
397,Kyle Lowry,PG,33,TOR,58,58,2098,7.6,18.2,.416,3.7,10.6,.352,3.9,7.6,.504,6.7,7.8,.857,0.7,5.9,6.6,9.8,1.9,0.6,4.0,4.3,25.5,,116,106
398,Timothé Luwawu-Cabarrot,SG,24,BRK,47,2,853,6.5,14.9,.435,3.4,8.9,.388,3.1,6.0,.505,3.8,4.5,.852,1.6,5.4,7.0,1.6,1.0,0.4,2.1,5.9,20.2,,114,112
399,Trey Lyles,PF,24,SAS,63,53,1271,5.8,12.9,.446,2.4,6.3,.387,3.3,6.6,.503,1.2,1.7,.733,2.7,10.9,13.6,2.6,1.1,1.1,1.5,3.7,15.2,,113,113
400,Daryl Macon,SG,24,MIA,4,0,14,3.5,10.5,.333,3.5,7.0,.500,0.0,3.5,.000,0.0,0.0,,0.0,0.0,0.0,3.5,0.0,0.0,7.0,3.5,10.5,,65,118
401,J.P. Macura,SG,24,CLE,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,123
402,Josh Magette,PG,30,ORL,8,0,38,6.4,19.2,.333,1.3,5.1,.250,5.1,14.1,.364,1.3,2.6,.500,1.3,6.4,7.7,6.4,3.8,1.3,6.4,5.1,15.4,,71,105
403,Ian Mahinmi,C,33,WAS,38,35,808,6.0,12.1,.495,0.3,1.5,.192,5.7,10.6,.538,4.0,6.5,.619,4.5,8.1,12.6,2.8,1.8,2.5,2.6,6.6,16.4,,110,112
404,Thon Maker,C,22,DET,60,14,776,5.9,12.2,.482,1.4,4.1,.344,4.5,8.2,.550,4.6,7.0,.664,3.4,7.2,10.6,2.7,1.6,2.5,2.9,6.5,17.8,,111,110
405,Terance Mann,SG,23,LAC,41,6,362,4.8,10.3,.468,0.9,2.6,.350,3.9,7.7,.508,2.4,3.5,.667,1.3,5.9,7.2,6.9,1.4,0.7,2.4,6.0,12.9,,114,109
406,Boban Marjanović,C,31,DAL,44,5,422,13.9,24.2,.573,0.5,1.9,.235,13.4,22.2,.603,4.9,6.5,.754,7.6,15.0,22.6,2.3,0.9,1.1,3.4,6.4,33.1,,120,108
407,Lauri Markkanen,PF,22,CHI,50,50,1492,8.1,19.1,.425,3.5,10.2,.344,4.6,8.8,.518,4.1,4.9,.824,1.9,8.2,10.1,2.4,1.4,0.7,2.6,3.1,23.8,,108,110
408,Caleb Martin,SF,24,CHO,18,1,317,5.8,13.3,.440,3.2,5.8,.541,2.7,7.4,.362,2.7,3.3,.810,1.6,4.4,6.0,3.6,1.9,1.1,2.4,5.1,17.5,,113,113
409,Cody Martin,SF,24,CHO,48,3,903,4.9,11.5,.430,1.0,4.3,.234,3.9,7.2,.546,2.3,3.6,.646,2.1,6.7,8.8,5.3,2.2,0.5,2.4,4.3,13.2,,104,112
410,Jeremiah Martin,PG,23,BRK,9,0,99,11.5,25.3,.453,2.4,8.6,.278,9.1,16.7,.543,5.3,6.7,.786,0.5,4.3,4.8,8.6,3.3,1.0,1.9,3.3,30.6,,116,107
411,Kelan Martin,SF,24,MIN,31,4,495,6.7,17.0,.392,2.3,9.0,.260,4.3,8.0,.541,2.8,2.9,.968,1.1,7.9,9.0,2.2,0.7,0.8,1.9,4.8,18.5,,100,114
412,Frank Mason III,PG,25,MIL,9,0,118,8.9,19.7,.451,2.3,8.1,.286,6.6,11.6,.567,3.9,6.6,.588,1.9,5.4,7.4,11.2,1.9,0.4,4.3,4.3,24.0,,110,104
413,Garrison Mathews,SG,23,WAS,18,0,227,4.9,11.5,.429,3.9,9.5,.413,1.0,2.1,.500,6.4,7.0,.912,1.2,3.7,4.9,2.1,1.6,0.2,1.6,6.6,20.2,,133,118
414,Wesley Matthews,SG,33,MIL,67,67,1635,4.7,11.8,.396,3.0,8.3,.364,1.6,3.5,.472,1.5,1.9,.765,0.6,4.0,4.6,2.6,1.1,0.3,1.2,2.9,13.8,,109,107
415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Luc Mbah a Moute,PF,33,HOU,3,0,25,3.7,9.3,.400,0.0,3.7,.000,3.7,5.6,.667,1.9,3.7,.500,1.9,1.9,3.7,0.0,3.7,0.0,1.9,0.0,9.3,,82,110
417,Patrick McCaw,SF,24,TOR,37,12,908,3.5,8.5,.414,1.2,3.7,.324,2.3,4.8,.484,0.7,0.9,.722,1.0,3.5,4.5,4.1,2.0,0.2,1.5,3.1,8.9,,105,108
418,CJ McCollum,SG,28,POR,70,70,2556,11.4,25.3,.451,3.6,9.5,.379,7.8,15.7,.494,2.6,3.4,.757,0.9,4.7,5.5,5.8,1.0,0.8,2.4,3.4,29.0,,111,118
419,T.J. McConnell,PG,27,IND,71,3,1326,7.8,15.0,.516,0.2,0.6,.294,7.6,14.4,.525,1.3,1.5,.833,1.4,5.5,6.9,13.0,2.0,0.4,3.7,2.7,17.0,,112,109
420,Jalen McDaniels,PF,22,CHO,16,0,293,5.6,12.0,.471,1.5,4.1,.375,4.1,7.9,.522,2.4,2.9,.824,2.6,8.5,11.1,2.2,1.4,0.5,1.9,6.2,15.2,,112,113
421,Doug McDermott,PF,28,IND,69,0,1372,9.4,19.3,.488,4.5,10.4,.435,4.9,8.9,.549,1.7,2.1,.828,0.9,5.2,6.2,2.8,0.4,0.2,1.5,4.1,25.1,,117,113
422,JaVale McGee,C,32,LAL,68,68,1130,8.2,12.9,.637,0.1,0.3,.500,8.1,12.6,.640,2.2,3.5,.646,5.3,11.2,16.4,1.6,1.5,4.0,2.3,6.7,18.8,,124,101
423,Rodney McGruder,SG,28,LAC,56,4,871,3.9,9.8,.398,1.3,4.8,.270,2.6,5.0,.522,1.0,1.8,.559,1.6,6.6,8.2,2.0,1.4,0.4,1.3,4.0,10.1,,100,109
424,Alfonzo McKinnie,SF,27,CLE,40,1,593,6.0,14.0,.427,1.1,5.3,.215,4.8,8.7,.557,1.8,2.5,.710,3.0,6.2,9.3,1.1,1.9,0.7,2.1,5.9,14.9,,99,115
425,Jordan McLaughlin,PG,23,MIN,30,2,590,6.8,14.0,.489,2.3,6.0,.382,4.6,8.0,.569,2.0,3.1,.667,0.6,3.3,3.9,9.8,2.7,0.3,2.4,2.4,18.0,,121,113
426,Ben McLemore,SG,26,HOU,71,23,1619,6.9,15.6,.444,5.2,12.9,.400,1.7,2.7,.656,1.4,1.9,.746,0.6,3.9,4.5,1.7,1.3,0.5,1.4,4.4,20.4,,118,113
427,Jordan McRae,SG,28,TOT,37,4,784,9.0,22.0,.407,2.7,7.6,.357,6.3,14.4,.433,5.0,6.6,.761,1.1,6.4,7.5,5.6,1.3,1.0,2.6,4.4,25.6,,105,116
428,Jordan McRae,SG,28,WAS,29,4,654,9.5,22.7,.420,2.9,7.6,.377,6.6,15.1,.441,4.6,5.9,.771,1.2,6.2,7.4,5.9,1.4,1.1,2.7,4.4,26.4,,106,116
429,Jordan McRae,SG,28,DEN,4,0,32,3.1,9.3,.333,3.1,6.2,.500,0.0,3.1,.000,4.6,6.2,.750,1.5,6.2,7.7,6.2,3.1,1.5,0.0,3.1,13.9,,144,108
430,Jordan McRae,SG,28,DET,4,0,98,7.0,21.6,.326,1.5,8.0,.188,5.5,13.6,.407,8.0,11.0,.727,0.0,7.5,7.5,3.5,0.0,0.0,2.5,5.0,23.6,,92,117
431,Nicolò Melli,C,29,NOP,60,8,1042,6.0,14.3,.421,3.1,9.1,.335,3.0,5.2,.573,2.4,3.2,.740,1.7,6.3,8.0,3.6,1.5,1.0,2.0,5.5,17.5,,111,112
432,De'Anthony Melton,PG,21,MEM,60,8,1167,6.4,16.0,.401,1.6,5.6,.286,4.8,10.4,.464,3.7,4.8,.769,1.7,7.1,8.8,7.0,3.1,0.8,3.4,4.4,18.2,,102,107
433,Chimezie Metu,PF,22,SAS,18,0,105,10.9,19.1,.571,0.0,0.9,.000,10.9,18.2,.600,4.6,5.9,.769,5.5,9.6,15.0,4.6,1.4,2.7,4.6,3.2,26.4,,113,110
434,Khris Middleton,SF,28,MIL,62,59,1853,11.6,23.3,.497,3.6,8.7,.415,8.0,14.6,.546,5.1,5.6,.916,1.1,8.3,9.4,6.5,1.3,0.2,3.4,3.5,32.0,,118,104
435,Eric Mika,PF,25,SAC,1,0,19,5.1,7.7,.667,0.0,0.0,,5.1,7.7,.667,5.1,5.1,1.000,5.1,12.8,17.9,0.0,0.0,0.0,0.0,12.8,15.3,,173,113
436,C.J. Miles,SG,32,WAS,10,0,161,5.5,17.1,.322,3.2,10.2,.314,2.3,7.0,.333,4.4,5.8,.750,1.2,2.3,3.5,3.5,2.9,1.2,1.2,4.1,18.6,,103,114
437,Malcolm Miller,SF,26,TOR,28,1,162,3.5,8.5,.414,2.3,6.5,.364,1.2,2.1,.571,0.9,2.3,.375,0.6,4.1,4.7,3.2,1.5,0.6,1.2,5.3,10.3,,108,108
438,Patty Mills,PG,31,SAS,66,1,1485,8.3,19.2,.431,5.0,13.0,.382,3.3,6.3,.533,3.1,3.6,.866,0.7,2.8,3.5,3.8,1.7,0.2,1.7,3.4,24.7,,115,116
439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Paul Millsap,PF,34,DEN,51,48,1240,8.4,17.5,.482,2.2,4.9,.435,6.3,12.5,.500,4.6,5.6,.816,3.9,7.8,11.7,3.3,1.8,1.2,2.8,6.0,23.6,,116,110
441,Shake Milton,SG,23,PHI,40,24,805,8.1,16.7,.484,3.5,8.1,.430,4.6,8.6,.535,3.1,3.9,.785,0.9,4.4,5.3,6.3,1.2,0.4,2.8,5.5,22.7,,118,112
442,Donovan Mitchell,SG,23,UTA,69,69,2364,12.4,27.6,.449,3.6,9.7,.366,8.8,17.9,.494,5.7,6.6,.863,1.1,5.2,6.3,6.1,1.4,0.3,3.8,3.5,34.1,,110,111
443,Naz Mitrou-Long,SG,26,IND,5,0,47,6.2,17.5,.353,2.1,12.4,.167,4.1,5.2,.800,0.0,0.0,,0.0,7.2,7.2,8.3,1.0,1.0,3.1,2.1,14.5,,87,109
444,Adam Mokoka,SG,21,CHI,11,0,112,5.2,12.0,.429,2.6,6.5,.400,2.6,5.6,.462,0.9,1.7,.500,3.0,1.3,4.3,1.7,1.7,0.0,0.9,7.3,13.8,,115,114
445,Malik Monk,SG,21,CHO,55,1,1169,9.1,20.9,.434,2.5,8.7,.284,6.6,12.2,.542,3.5,4.3,.820,1.2,5.6,6.7,4.9,1.1,0.7,3.3,3.2,24.2,,102,115
446,Matt Mooney,SG,22,CLE,4,0,19,2.6,10.2,.250,0.0,5.1,.000,2.6,5.1,.500,0.0,0.0,,0.0,7.7,7.7,2.6,5.1,2.6,0.0,2.6,5.1,,69,104
447,E'Twaun Moore,SG,30,NOP,56,6,1020,8.4,19.8,.426,2.9,7.6,.377,5.6,12.2,.456,1.4,2.0,.689,1.4,4.5,5.9,3.5,1.5,0.5,1.8,3.6,21.1,,104,114
448,Ja Morant,PG,20,MEM,67,67,2074,10.1,21.1,.477,1.4,4.0,.335,8.7,17.1,.511,5.4,6.9,.776,1.1,4.7,5.8,11.0,1.3,0.4,5.0,2.5,26.9,,109,113
449,Juwan Morgan,PF,22,UTA,21,0,134,5.4,9.4,.577,1.1,2.9,.375,4.4,6.5,.667,1.1,1.5,.750,3.6,6.9,10.5,2.2,0.4,0.7,2.2,6.9,13.1,,121,112
