,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
563,Thabo Sefolosha,PF,35,HOU,41,0,436,3.9,9.7,.407,1.6,5.7,.278,2.3,3.9,.595,0.3,0.8,.375,2.2,7.6,9.9,2.7,2.5,1.3,1.6,4.6,9.8,,103,107
564,Collin Sexton,SG,21,CLE,65,65,2143,11.6,24.7,.472,2.2,5.8,.380,9.4,18.9,.501,5.1,6.1,.846,1.4,3.2,4.6,4.4,1.5,0.2,3.6,3.2,30.6,,108,118
565,Landry Shamet,SG,22,LAC,53,30,1452,5.1,12.7,.404,3.6,9.6,.375,1.5,3.1,.495,2.1,2.5,.855,0.2,3.1,3.3,3.2,0.7,0.3,1.4,4.6,16.0,,115,113
566,Marial Shayok,SG,24,PHI,4,0,28,5.2,20.8,.250,3.5,10.4,.333,1.7,10.4,.167,5.2,6.9,.750,1.7,10.4,12.1,1.7,0.0,1.7,5.2,6.9,19.0,,75,110
567,Iman Shumpert,SG,29,BRK,13,0,241,4.1,12.6,.328,1.6,6.5,.242,2.6,6.1,.419,0.8,1.4,.571,1.8,4.9,6.7,2.4,2.4,0.4,2.0,4.1,10.6,,85,109
568,Pascal Siakam,PF,25,TOR,60,60,2110,11.3,24.9,.453,3.0,8.2,.359,8.3,16.7,.499,5.4,6.8,.792,1.4,8.5,9.9,4.7,1.4,1.2,3.3,3.8,30.9,,107,105
569,Chris Silva,PF,23,MIA,44,0,346,6.8,11.0,.615,0.0,0.4,.000,6.8,10.6,.640,5.2,7.8,.673,8.5,9.3,17.8,3.2,1.3,3.0,4.5,12.0,18.8,,120,106
570,Ben Simmons,PG,23,PHI,57,57,2017,9.0,15.5,.580,0.0,0.2,.286,9.0,15.4,.583,4.4,7.2,.621,2.7,8.0,10.7,10.9,2.9,0.8,4.8,4.5,22.5,,116,106
571,Anfernee Simons,SG,20,POR,70,4,1449,7.0,17.6,.399,2.5,7.4,.332,4.6,10.2,.448,2.5,3.0,.826,0.8,4.2,5.0,3.2,0.9,0.3,2.0,4.4,19.0,,102,119
572,Alen Smailagić,PF,19,GSW,14,0,139,6.9,13.8,.500,1.0,4.5,.231,5.9,9.3,.630,5.5,6.5,.842,3.4,5.9,9.3,4.5,1.0,1.4,3.8,4.8,20.3,,112,115
573,Marcus Smart,SG,25,BOS,60,40,1919,6.4,17.2,.375,3.4,9.9,.347,3.0,7.2,.415,3.2,3.8,.836,1.1,4.6,5.7,7.3,2.5,0.7,2.6,4.1,19.5,,110,107
574,Dennis Smith Jr.,PG,22,NYK,34,3,537,6.5,19.1,.341,1.5,4.9,.296,5.1,14.2,.357,2.4,4.8,.509,1.9,5.2,7.1,8.9,2.5,0.7,5.3,5.9,17.0,,84,112
575,Ish Smith,PG,31,WAS,68,23,1787,8.1,18.0,.447,1.6,4.4,.367,6.4,13.6,.473,1.6,2.2,.721,0.8,4.9,5.7,8.7,1.5,0.8,2.5,2.8,19.4,,108,117
576,J.R. Smith,SG,34,LAL,6,0,79,4.2,13.2,.318,0.6,6.6,.091,3.6,6.6,.545,1.2,1.2,1.000,0.0,3.0,3.0,1.8,0.6,0.0,2.4,3.0,10.2,,72,113
577,Zhaire Smith,SG,20,PHI,7,0,32,4.5,16.7,.273,0.0,4.5,.000,4.5,12.1,.375,3.0,6.1,.500,0.0,3.0,3.0,3.0,4.5,0.0,3.0,6.1,12.1,,65,106
578,Tony Snell,SF,28,DET,59,57,1641,5.1,11.5,.445,3.1,7.6,.402,2.0,3.8,.531,1.0,1.0,1.000,0.3,3.1,3.3,3.8,1.0,0.4,0.9,3.0,14.2,,121,117
579,Omari Spellman,PF,22,GSW,49,3,886,6.9,15.9,.431,2.3,5.9,.391,4.5,10.0,.454,3.9,5.0,.793,4.2,7.7,11.8,2.5,1.8,1.3,2.9,3.4,20.0,,107,112
580,Max Strus,SG,23,CHI,2,0,6,16.1,24.1,.667,0.0,8.0,.000,16.1,16.1,1.000,8.0,8.0,1.000,8.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,40.1,,153,119
581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Edmond Sumner,PG,24,IND,31,3,447,6.6,15.4,.430,1.5,5.8,.264,5.1,9.7,.528,1.7,3.1,.552,1.2,3.8,5.0,6.0,1.6,1.0,2.4,4.8,16.5,,100,110
583,Caleb Swanigan,PF,22,TOT,27,1,288,4.6,7.8,.596,0.0,0.3,.000,4.6,7.5,.622,1.5,2.8,.529,4.5,12.1,16.6,5.1,0.5,1.2,6.1,10.3,10.8,,95,113
584,Caleb Swanigan,PF,22,SAC,7,0,23,4.2,8.4,.500,0.0,0.0,,4.2,8.4,.500,2.1,4.2,.500,4.2,10.5,14.8,4.2,2.1,4.2,12.7,16.9,10.5,,61,104
585,Caleb Swanigan,PF,22,POR,20,1,265,4.7,7.7,.605,0.0,0.4,.000,4.7,7.4,.634,1.4,2.7,.533,4.5,12.2,16.7,5.2,0.4,0.9,5.6,9.7,10.8,,99,114
586,Jayson Tatum,PF,21,BOS,66,66,2265,11.8,26.1,.450,4.0,10.0,.403,7.7,16.1,.480,5.4,6.7,.812,1.4,8.4,9.8,4.3,2.0,1.2,3.3,2.9,33.0,,111,106
587,Jeff Teague,PG,31,TOT,59,17,1464,6.8,15.5,.436,1.4,3.7,.368,5.4,11.8,.457,5.5,6.3,.873,0.9,3.7,4.5,9.8,1.4,0.6,3.7,3.4,20.4,,112,116
588,Jeff Teague,PG,31,MIN,34,13,945,7.1,15.9,.448,1.6,4.3,.379,5.5,11.6,.473,6.1,7.1,.868,0.7,3.6,4.3,10.2,1.2,0.6,3.7,3.4,22.0,,116,116
589,Jeff Teague,PG,31,ATL,25,4,519,6.1,14.8,.412,0.9,2.7,.333,5.2,12.1,.430,4.2,4.8,.887,1.1,3.8,4.8,9.0,1.7,0.5,3.6,3.2,17.3,,105,117
590,Garrett Temple,SG,33,BRK,62,35,1730,6.1,16.1,.378,3.5,10.6,.329,2.6,5.5,.473,1.9,2.4,.805,0.8,5.2,6.0,4.3,1.3,0.8,1.7,3.0,17.5,,106,111
591,Daniel Theis,C,27,BOS,65,64,1566,7.4,13.1,.566,1.0,3.0,.333,6.4,10.2,.633,2.7,3.5,.763,4.3,8.8,13.1,3.4,1.1,2.6,1.7,6.7,18.5,,130,105
592,Isaiah Thomas,PG,30,WAS,40,37,925,8.8,21.5,.408,3.9,9.6,.413,4.9,12.0,.405,3.1,3.8,.816,0.6,2.9,3.4,7.4,0.7,0.3,3.9,3.9,24.7,,103,120
593,Khyri Thomas,SG,23,DET,8,0,61,4.0,13.7,.294,4.0,11.3,.357,0.0,2.4,.000,1.6,3.2,.500,0.8,0.0,0.8,2.4,2.4,0.0,2.4,7.3,13.7,,88,116
594,Lance Thomas,SF,31,BRK,7,4,98,3.9,11.1,.348,1.9,6.3,.308,1.9,4.8,.400,1.9,1.9,1.000,1.0,5.3,6.3,2.9,0.0,0.0,2.9,5.3,11.6,,91,115
595,Matt Thomas,SG,25,TOR,41,1,440,7.9,16.2,.487,5.1,10.7,.475,2.8,5.5,.510,1.0,1.3,.750,1.0,5.6,6.6,2.4,1.1,0.1,1.7,4.1,21.8,,119,109
596,Tristan Thompson,C,28,CLE,57,51,1721,8.1,15.9,.512,0.3,0.7,.391,7.9,15.2,.518,2.8,4.6,.615,6.4,9.9,16.3,3.4,0.9,1.4,2.9,3.5,19.3,,112,114
597,Sindarius Thornwell,SG,25,NOP,2,0,35,7.9,14.5,.545,2.6,5.3,.500,5.3,9.3,.571,2.6,5.3,.500,0.0,5.3,5.3,5.3,1.3,1.3,2.6,2.6,21.2,,115,113
598,Matisse Thybulle,SG,22,PHI,65,14,1287,4.2,10.0,.423,2.1,5.9,.357,2.1,4.1,.519,0.9,1.5,.610,1.7,2.4,4.0,3.0,3.5,1.8,1.9,5.3,11.5,,105,106
599,Anthony Tolliver,PF,34,TOT,55,13,872,3.5,9.9,.357,2.7,7.9,.338,0.9,2.0,.432,1.1,1.6,.724,1.9,6.5,8.4,2.3,1.0,0.6,1.9,4.0,10.9,,103,115
600,Anthony Tolliver,PF,34,POR,33,9,554,3.7,10.1,.368,2.6,7.7,.337,1.1,2.4,.464,1.1,1.6,.684,2.3,7.1,9.5,2.5,0.7,0.8,1.8,4.6,11.1,,106,117
601,Anthony Tolliver,PF,34,SAC,9,0,82,1.8,10.1,.176,1.2,8.9,.133,0.6,1.2,.500,0.6,1.2,.500,1.2,5.3,6.5,1.8,2.4,0.6,2.4,3.6,5.3,,57,112
602,Anthony Tolliver,PF,34,MEM,13,4,236,3.8,9.5,.396,3.4,8.1,.415,0.4,1.4,.286,1.4,1.6,.875,1.0,5.5,6.5,2.0,1.4,0.2,1.8,2.8,12.3,,110,113
603,Juan Toscano-Anderson,SF,26,GSW,13,6,272,5.1,11.1,.460,1.4,4.0,.348,3.7,7.0,.525,0.5,0.9,.600,1.6,7.6,9.1,4.6,2.3,0.9,2.8,5.3,12.1,,98,112
604,Karl-Anthony Towns,C,24,MIN,35,35,1187,12.4,24.3,.508,4.5,10.8,.412,7.9,13.5,.586,7.0,8.8,.796,3.7,11.1,14.8,6.0,1.3,1.6,4.3,4.6,36.2,,121,110
605,Gary Trent Jr.,SG,21,POR,61,8,1332,7.0,15.8,.444,4.0,9.6,.418,3.0,6.2,.486,1.3,1.6,.822,0.9,2.7,3.6,2.2,1.7,0.6,0.8,3.2,19.4,,121,117
606,Allonzo Trier,PG,24,NYK,24,1,291,8.5,17.7,.481,3.2,8.9,.358,5.4,8.9,.604,5.7,7.2,.791,1.0,3.8,4.9,4.7,0.5,0.7,3.7,4.9,25.9,,115,118
607,P.J. Tucker,PF,34,HOU,72,72,2467,3.3,8.0,.415,2.0,5.6,.358,1.3,2.4,.551,0.7,0.9,.813,2.1,6.8,8.9,2.2,1.4,0.7,1.4,4.3,9.4,,114,111
608,Rayjon Tucker,SG,22,UTA,20,0,161,6.0,13.0,.465,0.9,5.1,.176,5.1,7.9,.654,5.7,7.0,.826,0.9,5.1,6.0,1.5,0.3,0.3,2.4,3.0,18.7,,109,114
609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,Evan Turner,PG,31,ATL,19,0,251,4.6,12.4,.373,0.0,0.9,.000,4.6,11.5,.403,2.2,2.6,.857,1.5,5.6,7.1,7.1,1.7,1.5,4.8,3.7,11.5,,84,115
611,Myles Turner,C,23,IND,62,62,1826,7.1,15.6,.457,2.3,6.6,.344,4.8,9.0,.540,3.4,4.5,.751,2.3,8.5,10.8,1.9,1.2,3.5,2.3,4.4,19.9,,108,105
612,Jarrod Uthoff,SF,26,TOT,7,0,53,6.2,15.9,.389,2.6,7.9,.333,3.5,7.9,.444,1.8,1.8,1.000,1.8,3.5,5.3,0.0,0.9,0.0,0.0,1.8,16.8,,105,119
613,Jarrod Uthoff,SF,26,MEM,4,0,14,3.3,23.3,.143,0.0,13.3,.000,3.3,10.0,.333,6.7,6.7,1.000,3.3,0.0,3.3,0.0,3.3,0.0,0.0,3.3,13.3,,67,112
614,Jarrod Uthoff,SF,26,WAS,3,0,39,7.2,13.2,.545,3.6,6.0,.600,3.6,7.2,.500,0.0,0.0,,1.2,4.8,6.0,0.0,0.0,0.0,0.0,1.2,18.0,,135,121
615,Jonas Valančiūnas,C,27,MEM,70,70,1845,10.9,18.7,.585,0.8,2.3,.352,10.1,16.4,.617,3.7,5.1,.740,5.4,14.6,19.9,3.3,0.8,1.9,3.2,4.7,26.4,,120,107
616,Denzel Valentine,SF,26,CHI,36,5,488,9.6,23.4,.409,4.5,13.5,.336,5.0,9.9,.510,0.6,0.8,.750,0.9,6.4,7.3,4.2,2.6,0.6,2.6,5.0,24.3,,100,109
617,Jarred Vanderbilt,SF-PF,20,TOT,11,0,46,5.3,8.5,.625,0.0,1.1,.000,5.3,7.5,.714,2.1,2.1,1.000,3.2,6.4,9.6,2.1,3.2,1.1,7.5,6.4,12.8,,81,108
618,Jarred Vanderbilt,SF,20,DEN,9,0,41,6.0,8.4,.714,0.0,0.0,,6.0,8.4,.714,0.0,0.0,,3.6,6.0,9.6,2.4,3.6,1.2,8.4,7.2,12.1,,77,107
619,Jarred Vanderbilt,PF,20,MIN,2,0,5,0.0,9.3,.000,0.0,9.3,.000,0.0,0.0,,18.6,18.6,1.000,0.0,9.3,9.3,0.0,0.0,0.0,0.0,0.0,18.6,,124,116
620,Fred VanVleet,PG,25,TOR,54,54,1928,7.9,19.1,.413,3.6,9.2,.390,4.3,9.8,.434,4.1,4.9,.848,0.4,4.6,5.0,8.8,2.5,0.4,3.0,3.3,23.5,,113,106
621,Gabe Vincent,PG,23,MIA,9,0,83,4.7,21.8,.216,3.5,15.9,.222,1.2,5.9,.200,0.0,0.0,,0.0,2.9,2.9,3.5,2.9,0.0,0.6,3.5,12.9,,70,110
622,Noah Vonleh,C-PF,24,TOT,36,1,377,6.4,11.4,.565,0.4,1.9,.200,6.1,9.5,.636,3.1,4.0,.781,4.6,10.8,15.3,3.5,1.4,0.7,2.6,4.9,16.3,,121,111
623,Noah Vonleh,C,24,MIN,29,1,347,6.3,11.5,.547,0.3,1.9,.143,6.0,9.6,.625,3.1,3.7,.821,4.5,11.0,15.5,3.5,1.5,0.8,2.5,4.8,15.9,,119,111
624,Noah Vonleh,PF,24,DEN,7,0,30,8.2,9.9,.833,1.6,1.6,1.000,6.6,8.2,.800,3.3,6.6,.500,4.9,8.2,13.2,3.3,0.0,0.0,3.3,6.6,21.4,,136,115
625,Nikola Vučević,C,29,ORL,62,62,1998,12.0,25.2,.477,2.4,7.0,.339,9.6,18.1,.531,3.2,4.1,.784,3.4,13.0,16.4,5.4,1.3,1.1,2.1,3.3,29.6,,114,107
626,Dean Wade,PF,23,CLE,12,0,71,6.2,8.9,.692,1.4,2.7,.500,4.8,6.2,.778,0.0,0.7,.000,2.1,11.0,13.0,1.4,1.4,2.7,2.1,5.5,13.7,,122,111
627,Moritz Wagner,C,22,WAS,45,5,835,8.1,14.9,.545,1.4,4.5,.313,6.7,10.4,.645,4.4,5.3,.821,3.1,9.1,12.3,3.1,1.6,1.1,3.7,8.5,22.0,,114,113
628,Dion Waiters,SG,28,TOT,10,0,207,9.5,22.9,.414,3.5,10.9,.319,6.0,12.0,.500,3.2,3.9,.824,0.5,5.1,5.5,4.6,0.9,1.4,3.7,4.8,25.6,,98,110
629,Dion Waiters,SG,28,MIA,3,0,42,11.6,30.2,.385,9.3,19.8,.471,2.3,10.5,.222,0.0,1.2,.000,0.0,12.8,12.8,3.5,0.0,2.3,3.5,5.8,32.5,,93,108
630,Dion Waiters,SG,28,LAL,7,0,165,8.9,21.0,.425,2.0,8.6,.233,6.9,12.4,.558,4.0,4.6,.875,0.6,3.2,3.7,4.9,1.2,1.2,3.7,4.6,23.9,,99,110
631,Kemba Walker,PG,29,BOS,56,56,1742,10.5,24.6,.425,5.0,13.1,.381,5.5,11.5,.476,5.8,6.7,.864,1.0,5.0,6.0,7.4,1.3,0.8,3.2,2.5,31.7,,116,110
632,Lonnie Walker,SG,21,SAS,61,12,988,7.4,17.3,.426,2.0,4.9,.406,5.4,12.4,.434,2.1,3.0,.721,1.1,5.6,6.7,3.3,1.5,0.7,2.1,3.8,18.8,,100,115
633,Tyrone Wallace,SG,25,ATL,14,0,160,4.1,12.8,.318,0.3,4.4,.067,3.8,8.4,.448,3.2,5.0,.647,0.9,5.5,6.4,3.8,2.0,0.3,2.9,5.5,11.6,,80,115
634,Taurean Prince,SF,25,BRK,64,61,1857,7.1,18.8,.376,3.7,11.0,.339,3.4,7.8,.429,1.8,2.3,.798,1.3,8.4,9.7,3.0,1.5,0.6,3.2,4.1,19.7,,94,109
635,Derrick Walton,PG,24,TOT,26,1,248,3.4,7.5,.462,1.9,4.6,.417,1.5,2.9,.533,1.3,1.7,.778,0.4,2.7,3.1,5.2,1.3,0.0,1.0,4.0,10.1,,131,112
636,Derrick Walton,PG,24,LAC,23,1,222,3.6,7.7,.472,1.9,4.5,.429,1.7,3.2,.533,1.5,1.9,.778,0.4,2.8,3.2,4.7,0.9,0.0,0.9,4.0,10.6,,133,113
637,Derrick Walton,PG,24,DET,3,0,26,1.9,5.7,.333,1.9,5.7,.333,0.0,0.0,,0.0,0.0,,0.0,1.9,1.9,9.5,5.7,0.0,1.9,3.8,5.7,,117,107
638,Brad Wanamaker,PG,30,BOS,71,1,1369,5.7,12.8,.448,1.3,3.6,.363,4.4,9.2,.481,4.4,4.8,.926,0.8,4.3,5.1,6.3,2.2,0.5,2.7,4.7,17.2,,115,109
639,T.J. Warren,SF,26,IND,67,67,2202,11.8,22.0,.536,2.0,5.0,.403,9.8,17.0,.575,3.7,4.5,.819,1.5,4.7,6.2,2.2,1.7,0.7,1.9,4.1,29.2,,116,110
640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,P.J. Washington,PF,21,CHO,58,57,1759,7.6,16.8,.455,2.4,6.6,.374,5.2,10.2,.507,2.5,3.9,.647,1.7,7.3,9.0,3.5,1.5,1.3,2.6,4.5,20.2,,105,112
642,Yuta Watanabe,SG,25,MEM,18,0,105,6.7,15.1,.441,1.3,3.6,.375,5.3,11.6,.462,1.3,3.6,.375,3.1,5.8,8.9,2.2,2.2,0.4,0.9,4.0,16.0,,105,110
643,Tremont Waters,PG,22,BOS,11,1,119,5.7,19.9,.286,1.6,9.7,.167,4.1,10.1,.400,3.2,3.2,1.000,0.0,4.9,4.9,6.5,4.1,0.8,6.1,5.3,16.2,,73,103
644,Paul Watson,SF-SG,25,TOT,10,0,87,5.4,14.2,.385,2.2,6.5,.333,3.3,7.6,.429,3.8,4.9,.778,1.1,8.2,9.3,4.4,2.2,0.5,1.6,2.7,16.9,,106,106
645,Paul Watson,SG,25,ATL,2,0,17,0.0,19.2,.000,0.0,8.2,.000,0.0,11.0,.000,0.0,0.0,,0.0,5.5,5.5,8.2,2.7,0.0,0.0,2.7,0.0,,27,114
646,Paul Watson,SF,25,TOR,8,0,70,6.8,12.9,.526,2.7,6.1,.444,4.1,6.8,.600,4.8,6.1,.778,1.4,8.8,10.2,3.4,2.0,0.7,2.0,2.7,21.1,,127,104
647,Quinndary Weatherspoon,SG,23,SAS,11,0,78,3.1,10.4,.294,0.6,3.1,.200,2.5,7.4,.333,0.6,1.2,.500,0.6,3.7,4.3,6.7,1.8,0.6,3.1,4.9,7.4,,77,115
648,Russell Westbrook,PG,31,HOU,57,57,2049,13.6,28.9,.472,1.2,4.8,.258,12.4,24.1,.514,6.5,8.6,.763,2.3,7.9,10.2,9.1,2.1,0.5,5.8,4.5,35.1,,106,109
649,Coby White,SG,19,CHI,65,1,1674,9.0,22.8,.394,3.8,10.8,.354,5.2,12.0,.430,2.9,3.7,.791,0.8,5.8,6.6,5.0,1.4,0.2,3.1,3.4,24.7,,100,112
650,Derrick White,SG,25,SAS,68,20,1677,7.2,15.7,.458,2.3,6.2,.366,5.0,9.6,.518,5.1,6.0,.853,1.0,5.4,6.4,6.9,1.3,1.7,2.5,4.3,21.8,,118,114
651,Hassan Whiteside,C,30,POR,67,61,2008,10.3,16.7,.621,0.1,0.2,.571,10.3,16.5,.622,3.9,5.7,.686,6.1,15.4,21.5,1.9,0.6,4.7,2.8,4.7,24.7,,125,107
652,Andrew Wiggins,SF-SG,24,TOT,54,54,1858,11.0,24.6,.447,2.8,8.4,.332,8.2,16.2,.506,4.8,6.7,.709,1.7,5.2,6.9,5.0,1.1,1.3,3.3,3.2,29.6,,105,114
653,Andrew Wiggins,SF,24,MIN,42,42,1455,11.2,25.2,.444,2.9,8.8,.331,8.3,16.4,.505,4.8,6.6,.720,1.5,5.5,7.0,4.9,0.9,1.1,3.4,3.2,30.1,,104,115
654,Andrew Wiggins,SG,24,GSW,12,12,403,10.2,22.3,.457,2.4,7.0,.339,7.8,15.3,.512,4.9,7.2,.672,2.1,4.4,6.5,5.1,1.9,2.0,3.0,3.1,27.7,,106,113
655,Grant Williams,PF,21,BOS,69,5,1043,4.0,9.8,.412,1.1,4.4,.250,2.9,5.3,.548,1.8,2.5,.722,2.7,5.5,8.2,3.1,1.4,1.7,2.3,7.5,11.0,,104,108
656,Johnathan Williams,C,24,WAS,15,6,180,4.9,8.8,.559,0.0,0.5,.000,4.9,8.3,.594,1.8,3.4,.538,6.2,10.4,16.6,2.1,0.3,2.1,1.3,4.2,11.7,,126,115
657,Kenrich Williams,PF,25,NOP,39,18,832,2.8,8.2,.347,1.4,5.4,.258,1.4,2.8,.520,0.5,1.4,.346,2.8,7.5,10.3,3.2,1.5,1.2,1.2,4.9,7.6,,103,111
658,Lou Williams,SG,33,LAC,65,8,1864,9.9,23.7,.418,2.8,8.0,.352,7.1,15.7,.451,7.4,8.6,.861,0.8,4.3,5.1,9.3,1.1,0.3,4.6,2.0,30.1,,109,111
659,Marvin Williams,PF,33,TOT,58,1,1129,5.1,11.5,.446,2.4,6.7,.359,2.7,4.8,.568,2.1,2.5,.860,1.3,6.6,7.9,2.6,1.6,1.3,1.4,4.4,14.8,,116,110
660,Marvin Williams,PF,33,CHO,41,1,808,5.8,13.0,.448,2.7,7.3,.376,3.1,5.8,.538,2.7,3.1,.860,0.9,5.8,6.8,2.5,1.6,1.4,1.6,4.4,17.1,,115,113
661,Marvin Williams,PF,33,MIL,17,0,321,3.6,8.1,.439,1.7,5.5,.308,1.8,2.6,.722,0.9,1.0,.857,2.1,8.4,10.5,2.7,1.4,1.1,1.1,4.6,9.7,,119,103
662,Robert Williams,C,22,BOS,29,1,388,8.0,10.9,.727,0.0,0.0,,8.0,10.9,.727,2.7,4.2,.647,5.0,10.9,15.9,3.4,2.7,4.4,2.6,6.3,18.7,,134,98
663,Nigel Williams-Goss,PG,25,UTA,10,0,50,4.9,15.6,.313,1.9,6.8,.286,2.9,8.8,.333,1.9,1.9,1.000,1.9,3.9,5.8,5.8,2.9,1.0,2.9,5.8,13.6,,92,108
664,Zion Williamson,PF,19,NOP,24,24,668,14.5,24.9,.583,0.4,1.0,.429,14.1,24.0,.590,7.9,12.3,.640,4.4,6.0,10.4,3.5,1.1,0.6,4.1,2.9,37.4,,115,114
665,D.J. Wilson,PF,23,MIL,37,1,363,6.5,16.6,.394,2.3,9.2,.247,4.3,7.4,.576,1.4,2.3,.611,1.5,10.1,11.6,3.1,0.4,0.6,2.4,4.2,16.7,,94,105
666,Justise Winslow,SF,23,MIA,11,5,352,6.9,17.9,.388,0.8,3.7,.222,6.1,14.1,.431,2.5,3.7,.667,2.2,7.9,10.1,6.1,1.0,0.7,3.3,5.3,17.2,,93,111
667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,Christian Wood,PF,24,DET,62,12,1325,10.7,18.9,.567,2.0,5.2,.386,8.7,13.7,.636,6.7,9.0,.744,3.9,10.6,14.5,2.2,1.3,2.0,3.1,3.6,30.1,,123,110
669,Delon Wright,SG,27,DAL,73,5,1570,5.8,12.7,.462,1.4,3.9,.370,4.4,8.7,.504,2.4,3.1,.770,2.2,6.5,8.6,7.5,2.6,0.7,2.2,2.9,15.5,,120,110
670,Justin Wright-Foreman,PG,22,UTA,4,0,45,7.6,21.6,.350,2.2,10.8,.200,5.4,10.8,.500,3.2,4.3,.750,0.0,5.4,5.4,7.6,2.2,0.0,3.2,5.4,20.5,,93,110
671,Thaddeus Young,PF,31,CHI,64,16,1591,8.1,18.2,.448,2.4,6.7,.356,5.8,11.5,.501,1.3,2.2,.583,2.8,6.7,9.5,3.5,2.8,0.7,3.1,4.1,20.0,,101,108
672,Trae Young,PG,21,ATL,60,60,2120,12.0,27.5,.437,4.5,12.5,.361,7.5,15.0,.501,10.6,12.3,.860,0.7,4.9,5.6,12.3,1.4,0.2,6.4,2.3,39.1,,114,117
673,Cody Zeller,C,27,CHO,58,39,1341,9.4,17.9,.524,0.7,2.8,.240,8.7,15.1,.577,4.6,6.7,.682,6.0,9.4,15.4,3.3,1.5,0.9,2.8,5.2,24.0,,116,111
674,Tyler Zeller,C,30,SAS,2,0,4,11.9,47.8,.250,0.0,0.0,,11.9,47.8,.250,0.0,0.0,,35.8,11.9,47.8,0.0,0.0,0.0,0.0,0.0,23.9,,95,116
675,Ante Žižić,C,23,CLE,22,0,221,9.0,15.9,.569,0.0,0.0,,9.0,15.9,.569,3.1,4.2,.737,4.0,10.6,14.5,1.3,1.5,1.1,2.2,5.9,21.1,,116,113
676,Ivica Zubac,C,22,LAC,72,70,1326,8.4,13.7,.613,0.0,0.1,.000,8.4,13.7,.616,4.4,5.9,.747,7.0,12.3,19.4,2.9,0.6,2.4,2.2,6.0,21.2,,134,105
